from,to,category
盟,蒙,province
门,蒙,province
闷,蒙,province
锰,蒙,province
# 蒙 牌权威位补充：蔽(bì)→B（蒙蔽→蒙B，配 bì 音族），蒂/迪(dì)→D（蒙蒂/蒙迪→蒙D，配 地/笛/滴）
蔽,B,letter
蒂,D,letter
迪,D,letter
# === 湘(xiāng,湖南) 省份同音补全：base 已有 相/向/乡/香/像，补 箱/镶（同 xiāng）===
箱,湘,province
镶,湘,province
# === 鄂(è,湖北) 省份同音：base 已有 厄/俄/鹅，补 恶/饿/额/鳄/二 ===
# 鄂(è) 高频被听成 恶/饿(è 精确)、额(é)、鳄(è)。
# 注意：不补 二→鄂！「二」在口语车牌里绝大多数是数字 2（如 二零零三=2003），
# 实测加 二→鄂 会害 62 个优先牌冀R/辽B（二被抢去当省份）。鄂 牌「二X」误识只能留作难例。
恶,鄂,province
饿,鄂,province
额,鄂,province
鳄,鄂,province
# 鄂 牌权威位补充：意(yì)→E（恶意05816→鄂E 大簇，配 邑/益/驿 yì 音族）
意,E,letter
# === 琼(qióng,海南) 省份同音 + 权威位补充 ===
# 琼多被正确识别，少量被听成 穷(qióng) → 补 穷→琼；权威位 弼/鄙(bì/bǐ)→B（配 碧/比/毕/币 音族）。
穷,琼,province
弼,B,letter
鄙,B,letter
# === 桂(guì,广西) 省份同音：桂与 贵(贵州) 完全同音同调(guì)，纯声学不可分 ===
# 策略：补 贵/跪/柜/硅→桂，但靠「identity 优先 + 合法字母表」自动只救无歧义位：
#   · 贵+[A-H,J]（贵州也合法）：贵→贵 identity(cost0) 永远赢 → 贵州原样保留，绝不误伤；
#   · 贵+[K,L,M,N,P,R]（贵州非法、仅桂合法）：贵候选被否决 → 桂胜（顺带消除 贵K→辽K 兜底误纠）；
#   · 跪/柜/硅 非贵州规范音，只映射桂。
# A-J 重叠位的 桂 牌是真·同音歧义，无法靠声音救，留作难例（贵州优先保位）。
贵,桂,province
跪,桂,province
柜,桂,province
硅,桂,province
# === 粤(yuè) 省份同音补全（广东）：base 已有 月/越/悦，补缺失的 阅/乐/跃（同 yuè）===
# 漏因：阅兵→粤B、阅M/阅威→辽（兜底）、乐T/阅X→冀（兜底）、跃J 全因这三字未映射粤。
阅,粤,province
乐,粤,province
跃,粤,province
# 粤 牌权威位补充：毅(yì)→E（配 驿/邑/益 音族），聘(pìn)→P，耳(ěr)→R（配 尔/二/而），威(wēi)→V（V 中文读音即 wēi）
毅,E,letter
聘,P,letter
耳,R,letter
威,V,letter
# === 甘(gān) 省份同音（甘肃）：基础表把 干(gān) 错配给了 赣(江西,gàn,4 声）===
# 干/肝(gān,1 声) 精确同音→甘（肝→甘已在 base）；刚/缸/钢(gāng)、该(gāi) 近音→甘。
# suppress 干→赣 让甘赢平局（赣 gàn 应由 gàn 调字承担）；刚→甘 还顺带消除「刚X→辽X」的丢省份兜底误纠。
# 不补 纪/寄/机→G（jì 同冀，保护优先牌冀R），甘纪/甘寄→甘G 留作难例。
干,甘,province
刚,甘,province
缸,甘,province
钢,甘,province
该,甘,province
干,赣,suppress
# 杠(gàng) 是 赣(gàn,江西) 的同调同音，且不与 甘(gān) 冲突 → 补回给赣（修 杠K→辽K 兜底）。
# 注：干(gān) 对甘/赣是声调被抹平后的纯同音歧义（赣字母⊂甘），按声调正确性+案例数归甘，
# 江西 干X 误识留作难例。
杠,赣,province
# 甘 牌权威位补充（紧贴音）：病(bìng)→B，溪(xī)→C，邑/益(yì)→E（E 已有 驿(yì) 音族）
病,B,letter
溪,C,letter
邑,E,letter
益,E,letter
# === 闽(mǐn) 省份同音（福建）：位 0 专用，闽此前零同音，被听成 mǐn/mín/mǐ/miǎn/míng 族无处落地 ===
# 敏/闵(mǐn) 精确同音；民(mín)/米(mǐ)/免(miǎn)/明(míng) 近音。均不映射冀/辽，优先牌不受影响。
# 不补 迹/纪→G（jì 同冀，历史上 寄→G 坑过冀R），闽迹/闽纪→闽G 留作难例。
敏,闽,province
闵,闽,province
民,闽,province
米,闽,province
免,闽,province
明,闽,province
# 闽 牌权威位补充：疫(yì)→E（免疫→闽E，配 驿/翼/意/益 yì 音族）
疫,E,letter
# 皖 牌权威位/字母补充（紧贴音）：毕/币→B，笛/滴→D，批→P
# 注意：不补 寄/祭→G —— 它们读 jì 与河北「冀」同音，会从优先牌 冀R 抢食（实测回退 3 例）；
# 安徽 晚G/网G 仍由省份同音正常处理，仅放弃极少数 晚寄/晚祭→皖G。
毕,B,letter
币,B,letter
笛,D,letter
滴,D,letter
批,P,letter
# 及/即 同时像 冀(jì)/吉(jí)：默认（无辖区提示）走 吉（插入在前），
# 部署辖区含冀时由 PlateNormalizerV2 的 contextProvinces 平局偏好翻向 冀。
及,冀,province
即,冀,province
