from,to,category
# VD 已签收警情/警单（以/你→已）
以前手敬请,已签收警情,term
以前收警情,已签收警情,term
以鲜寿警情,已签收警情,term
以签收警情,已签收警情,term
你签收警情,已签收警情,term
以签收警单,已签收警单,term
你签收警单,已签收警单,term
# VD 签收警单/警情近音与截断
牵手锦单,签收警单,term
签收锦单,签收警单,term
生成的井丹,生成的警单,term
构筑成的景单,生成的警单,term
签收，紧单,签收警单,term
完成签收，紧单操作,完成签收警单操作,term
签收请单,签收警单,term
千收警单后,签收警单后,term
签收紧单操作,签收警单操作,term
派发的简单内容,派发的警单内容,term
见收警情,签收警情,term
请及时签收警。,请及时签收警情。,term
请附近警力签收警。,请附近警力签收警单。,term
请附近警力签收。,请附近警力签收警单。,term
请及时签收。警情,请及时签收警情,term
请尽快签收。警情,请尽快签收警情,term
# VD 签收警情/警单后
亲，收请情后,签收警情后,term
先收警情后,签收警情后,term
前收警情后,签收警情后,term
亲手警情后,签收警情后,term
亲属警单后,签收警单后,term
天收警单后,签收警单后,term
剑收警单后,签收警单后,term
签收警单号,签收警单后,term
# VD 已接警 / 接警台 / 接警时已确认
接警示已确认,接警时已确认,term
接警示意确认,接警时已确认,term
亿接警,已接警,term
喜接警,已接警,term
亦接警,已接警,term
义接警,已接警,term
接警察记录,接警台记录,term
机警登记,接警登记,term
机警记录,接警记录,term
# VD P5 / 其他
请揭面巡逻组,请街面巡逻组,term
漆面巡逻组,街面巡逻组,term
边亲警力,联勤警力,term
联清警力,联勤警力,term
知班警组,值班警组,term
放警人,报警人,term
# round04：KeSpeech Round02 FST 残留（长短语优先；跳过幻觉/乱码句）
# R04 签收警情后
全球警情后发现,签收警情后发现,term
前手警情后发现,签收警情后发现,term
签收尽情后,签收警情后,term
前手敬请后发现,签收警情后发现,term
前手敬请后,签收警情后,term
前手进情后,签收警情后,term
签收进行后,签收警情后,term
前手进亲后,签收警情后,term
# R04 已签收截断
已签收尽情,已签收警情,term
巡逻组已签收。 前往,巡逻组已签收警单，正在前往,term
巡逻组已签收。 出租车上,巡逻组已签收警单，正在前往出租车上,term
驯鹿族已签收,巡逻组已签收警单,term
已签收。 正在联系报警人,已签收警情，目前正在联系报警人,term
已签收。 目前正在联系报警人,已签收警情，目前正在联系报警人,term
已签收。 人员正在核对,已签收警单，处警人员正在核对,term
已签收。 正在核对门店名称,已签收警单，处警人员正在核对门店名称,term
我已签收报警人电话,我已签收警情，报警人电话,term
# R04 已接警（仅警务短语境，避免全局 已接近）
这边已接近涉及,这边已接警，涉及,term
目前已接近您,目前已接警，您,term
目前已已接近您,目前已接警，您,term
已接京报警人,已接警，报警人,term
# R04 值班/联勤/路面/附近警力
值班警阻,值班警组,term
值班金组,值班警组,term
有年轻警力核实,由联勤警力核实,term
富翘警力,附近警力,term
请父亲经理,请附近警力,term
青路面经历,请路面警力,term
究竟近邻里,就近警力,term
请就近历千收精担,请就近警力签收警单,term
卢明经理到达新昌处警,路面警力到达现场处警,term
# R04 接警系
借进信息,接警信息,term
接近时间为,接警时间为,term
已经接近后续,已经接警，后续,term
警情时已确认,接警时已确认,term
# R04 处警拆碎/近音
到达现场处，警正在处,到达现场处警，正在处理,term
到达现场处，警,到达现场处警,term
处中已联系,处警途中已联系,term
与处处境反馈,处警反馈,term
夜寻警力,夜巡警力,term
# R04 签收警情/警单
勤县签收,请先签收警情,term
业绩完成前手敬请,已完成签收警情,term
前收警情时,签收警情时,term
请先牵手警情,请先签收警情,term
签收。 注意查看报警人补充内容,签收警单时注意查看报警人补充内容,term
我已经签收。警,我已经签收警单,term
巡逻组已签收艰难,巡逻组已签收警单,term
签收。 工地围挡旁,签收警单后请先联系工地围挡旁,term
骑手进店后发行,签收警单后发现,term
增盆警力,增派警力,term
市区警务队,社区警务队,term
# 骨架/其他
签收经单,签收警单,term
# dingqiao smoke 2026-06（真机口播回放）
巡逻组已签收。 正在前往,巡逻组已签收警单，正在前往,term
暂不需要增派，,暂不需要增派警力，,term
# round03 tier1: 新声学 2183 全量 — 签收牵手/千手链 + 处景/受检/接警台（跳过解码崩溃句）
牵手警单后,签收警单后,term
牵手警单,签收警单,term
牵手金单后,签收警单后,term
千手警情后,签收警情后,term
牵手警情后,签收警情后,term
千手警情,签收警情,term
牵手静轻后,签收警情后,term
千手金单,签收警单,term
签收艰难后,签收警单后,term
处景途中,处警途中,term
处景图中,处警途中,term
处净土中,处警途中,term
受检车辆,处警车辆,term
及景泰,接警台,term
借景台,接警台,term
接静态,接警台,term
接警师已确认,接警时已确认,term
竖井过程中,处警过程中,term
请减免巡逻组,请街面巡逻组,term
直接警组,值班警组,term
扶警警力,附近警力,term
我以拳手敬请,已签收警情,term
签收井杆时,签收警单时,term
前手紧前后,签收警情后,term
亲手精丹,签收警单,term
请附近警力亲手精丹,请附近警力签收警单,term
接近信息显示,接警信息显示,term
洁净记录显示,接警记录显示,term
交警巡逻组牵手警情,交警巡逻组签收警情,term
社区警。 收警情,社区警快签收警情,term
前收订单后,签收警单后,term
# round03 tier2: 截断/近音补全（跳过乱码句与「报警」截断）
先签收警。,先签收警单。,term
路面，警力,路面警力,term
警快牵手,警快签收警情,term
请附近经理,请附近警力,term
前收进单后,签收警单后,term
接受警情后,签收警情后,term
我已签收。警,我已经签收警单,term
签收进来后,签收警单后,term
纪检台,接警台,term
且醒台,接警台,term
接警胎,接警台,term
激情过程中,接警过程中,term
亲手警单,签收警单,term
牵手景单,签收警单,term
出景图中,处警途中,term
牵收警情后,签收警情后,term
签收清单后,签收警单后,term
现收警情时,签收警情时,term
接收警单后,签收警单后,term
借警师已确认,接警时已确认,term
进行时已确认,接警时已确认,term
写请记录显示,接警记录显示,term
出境途中,处警途中,term
出镜结束后,处警结束后,term
签收井单,签收警单,term
请尽快签收井单,请尽快签收警单,term
暂不需要增。,暂不需要增派。,term
是否需要增派？,是否需要增派警力？,term
请及时签收。,请及时签收警情。,term
签收契丹,签收警单,term
前手进轻后,签收警情后,term
轻松静等后,签收警单后,term
# round05：甲方真人测 — 打开警信（景信/景讯/警醒/井信）
打开景信,打开警信,term
打开景讯,打开警信,term
打开警醒,打开警信,term
打开井信,打开警信,term
打开警讯,打开警信,term
# round06：甲方真人测 — 语音指令（帮我打开警信/时钟、帮写/帮填功能）
帮我打开警讯,帮我打开警信,term
帮我打开景讯,帮我打开警信,term
帮我打开景信,帮我打开警信,term
帮我打开井信,帮我打开警信,term
帮我打开警醒,帮我打开警信,term
帮我打开时中,帮我打开时钟,term
启动帮协功能,启动帮写功能,term
启动帮血功能,启动帮写功能,term
打开邦田功能,打开帮填功能,term
启动邦田功能,启动帮填功能,term
启动帮田功能,启动帮填功能,term
打开邦田,打开帮填,term
打开帮田,打开帮填,term
启动邦田,启动帮填,term
# round07：甲方真人测 — 群访群治/待办公文/主题为报警
群访群智工作会议,群访群治工作会议,term
主题为群访群智,主题为群访群治,term
主题为报警人的工作会议,主题为报警的工作会议,term
主题为报警人的工作,主题为报警的工作,term
代办公文,待办公文,term
# round08：甲方真人测 — 警信发消息/情指/到岗/创建警单/报警现场视频
打开景信发消息,打开警信发消息,term
用维康姆想,用WeConmm向,term
用维康姆向,用WeConmm向,term
呼叫停止中心,呼叫情指中心,term
我已到港,我已到岗,term
创建一个简单,创建一个警单,term
创建简单,创建警单,term
查看报警人现场视频,查看报警现场视频,term
# round09：甲方真人测 — WeConmm 英文误识(WE COMME→WeConmm)、打卡误识为打开
# 注：打卡仅保留「我已到岗，帮我打开→打卡」精确规则，避免误伤「打开设置/打开警信」等正常「打开X」指令。
用WE COMME向,用WeConmm向,term
用WE COM向,用WeConmm向,term
用V COM向,用WeConmm向,term
用微胖向,用WeConmm向,term
用微COM向,用WeConmm向,term
我已到岗，帮我打开,我已到岗，帮我打卡,term
# ── Phase 1（20260711 批）：警务 App/系统名 误识纠正（from 均为罕见无歧义串，全局替换安全）──
# 情指行（qíng zhǐ xíng）
请止行,情指行,appname
请知星,情指行,appname
停止型,情指行,appname
请止型,情指行,appname
# 勤指情平台
停止请平台,勤指情平台,appname
# e警保
易井宝,e警保,appname
易玟宝,e警保,appname
易文宝,e警保,appname
# 京警智联
精井智联,京警智联,appname
京井智联,京警智联,appname
# 基管平台
机管平台,基管平台,appname
# 指信接处警
指信接触井,指信接处警,appname
只性接触井,指信接处警,appname
# 移动警务门户
一栋警务门户,移动警务门户,appname
# 智能警务
智能景物,智能警务,appname
# 指信中心
紫信中心,指信中心,appname
直信中心,指信中心,appname
# 情指行 真残留（真人也念成 请指行；请指 因误伤 请指示/请指教 不加）
请指行,情指行,appname
# ── Phase 3b：真人复测真残留（长词等长近音亦喂 V2 模糊层 readingMap；from 均无子串碰撞）──
吸塑霸坊,息诉罢访,term
西素霸坊,息诉罢访,term
吸塑罢坊,息诉罢访,term
吸塑罢访,息诉罢访,term
定分值征,定纷止争,term
定分指针,定纷止争,term
制爆机枪,治爆缉枪,term
接触井流程,接处警流程,term
晋黄,禁黄,term
硝胺,销案,term
景增系统,警综系统,term
沪证业务,户政业务,term
# ── 甲方 0711 群反馈：同音误识纠正（from 无子串碰撞；长词亦喂 V2 模糊层）──
人向核查,人像核查,term
锦琴,警情,term
劝法,劝返,term
# WeSpace 归一（ASR 常输出 WE SPACE；WeComm 截断成 WE 暂不修，裸 WE 无法安全映射）
WE SPACE,WeSpace,term
We Space,WeSpace,term
# ── 甲方 0713 UI 术语 TTS 复测漏词（from 无子串碰撞）──
暗流圈,交流圈,appname
梨园核查,人员核查,appname
请勿打卡,勤务打卡,appname
和查详情,核查详情,appname
与警惕性反馈,预警提醒反馈,appname
近五次打卡记录,近5次打卡记录,appname
# ── 甲方 20260714 批：TTS 复测漏词（from 无子串碰撞）──
一暴直报,一报直报,appname
上情次数,上勤次数,appname
合乘作战,合成作战,appname
岗位请勿,岗位勤务,appname
请指心,情指行,appname
只信接收,指信接收,appname
纸信接收,指信接收,appname
支队按键,支队案件,appname
按键任务,案件任务,appname
按键列表,案件列表,appname
我的按键,我的案件,appname
移动接触井,移动接处警,appname
移动接触请,移动接处警,appname
视频清诊,视频清整,appname
狱警接收,预警接收,appname
# ── 清查快采 真机同音误识（查↔茶、采↔彩/菜/餐；避开「清查快餐店」故不收清查快餐）──
清查快彩,清查快采,appname
清查快菜,清查快采,appname
清茶快采,清查快采,appname
清茶快彩,清查快采,appname
清茶快菜,清查快采,appname
清茶快餐,清查快采,appname
